UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,PASSENGERS,FLIGHTS,SEATS,LOAD_FACTOR_PCT
AS,Alaska Airlines Inc.,1223112.0,8486.0,1450141.0,84.3
DL,Delta Air Lines Inc.,503921.0,4128.0,629445.0,80.1
UA,United Air Lines Inc.,241239.0,1685.0,276266.0,87.3
AA,American Airlines Inc.,197142.0,1241.0,226888.0,86.9
WN,Southwest Airlines Co.,137970.0,986.0,162598.0,84.9
OO,SkyWest Airlines Inc.,107108.0,1797.0,130387.0,82.1
F9,Frontier Airlines Inc.,56696.0,323.0,63984.0,88.6
QX,Horizon Air,44208.0,716.0,54416.0,81.2
NK,Spirit Air Lines,34999.0,213.0,41039.0,85.3
MQ,Envoy Air,2625.0,38.0,2888.0,90.9
5Y,Atlas Air Inc.,169.0,1.0,189.0,89.4
