DEST,DEST_CITY_NAME,DEST_STATE_ABR,PASSENGERS,FLIGHTS,SEATS,DISTANCE,LOAD_FACTOR_PCT,FARE_2022,FARE_2023,FARE_2024,FARE_2025,DEMAND_RANK
LAX,"Los Angeles, CA",CA,315904.0,2493.0,373393.0,954.0,84.6,205.28,149.98,169.38,206.81,1
PHX,"Phoenix, AZ",AZ,308110.0,2375.0,372050.0,1107.0,82.8,191.28,158.87,164.62,185.09,2
LAS,"Las Vegas, NV",NV,299459.0,2051.0,350437.0,867.0,85.5,147.9,139.33,144.77,170.65,3
ANC,"Anchorage, AK",AK,278351.0,2362.0,331528.0,1448.0,84.0,219.94,205.09,263.05,282.22,4
DEN,"Denver, CO",CO,269743.0,2001.0,312259.0,1024.0,86.4,163.52,161.81,163.03,173.53,5
SFO,"San Francisco, CA",CA,261444.0,2181.0,321273.0,679.0,81.4,154.75,169.95,177.04,192.84,6
DFW,"Dallas/Fort Worth, TX",TX,237870.0,1497.0,268959.0,1660.0,88.4,263.67,242.63,207.7,227.33,7
ORD,"Chicago, IL",IL,205165.0,1442.0,239114.0,1721.0,85.8,223.18,201.64,217.43,233.31,8
SAN,"San Diego, CA",CA,194524.0,1443.0,233094.0,1050.0,83.5,182.47,171.9,175.79,221.54,9
PDX,"Portland, OR",OR,178619.0,2401.0,238323.0,129.0,74.9,178.91,166.86,152.47,191.22,10
