DEST_STATE_ABR,DEST_STATE_NM,PASSENGERS,FLIGHTS,SEATS,LOAD_FACTOR_PCT
CA,California,1602543.0,13948.0,1953677.0,82.0
TX,Texas,453382.0,3210.0,529504.0,85.6
AK,Alaska,447018.0,3949.0,551682.0,81.0
HI,Hawaii,397257.0,2325.0,450008.0,88.3
AZ,Arizona,345800.0,2703.0,418272.0,82.7
NV,Nevada,333560.0,2412.0,392342.0,85.0
OR,Oregon,318261.0,4665.0,430510.0,73.9
WA,Washington,308016.0,4885.0,390908.0,78.8
FL,Florida,284219.0,1760.0,316438.0,89.8
CO,Colorado,272170.0,2041.0,315522.0,86.3
IL,Illinois,221551.0,1637.0,258435.0,85.7
GA,Georgia,170843.0,1055.0,195587.0,87.3
UT,Utah,153661.0,1156.0,188303.0,81.6
NY,New York,153378.0,983.0,178095.0,86.1
MN,Minnesota,145261.0,977.0,176408.0,82.3
ID,Idaho,140676.0,2068.0,177657.0,79.2
MT,Montana,114081.0,1556.0,141716.0,80.5
VA,Virginia,108787.0,778.0,126244.0,86.2
MA,Massachusetts,104785.0,716.0,128583.0,81.5
NJ,New Jersey,99084.0,655.0,109448.0,90.5
NC,North Carolina,96433.0,612.0,110959.0,86.9
MI,Michigan,95567.0,616.0,112168.0,85.2
MO,Missouri,68914.0,527.0,87461.0,78.8
PA,Pennsylvania,64050.0,412.0,74985.0,85.4
TN,Tennessee,48347.0,631.0,61395.0,78.7
OH,Ohio,32958.0,325.0,38896.0,84.7
KY,Kentucky,31261.0,418.0,39700.0,78.7
LA,Louisiana,31169.0,212.0,37208.0,83.8
MD,Maryland,25847.0,171.0,30250.0,85.4
NM,New Mexico,22440.0,151.0,26373.0,85.1
IN,Indiana,22339.0,226.0,26176.0,85.3
WI,Wisconsin,18132.0,127.0,21951.0,82.6
SC,South Carolina,17585.0,116.0,20424.0,86.1
OK,Oklahoma,16019.0,113.0,19826.0,80.8
NE,Nebraska,15877.0,111.0,19370.0,82.0
KS,Kansas,7192.0,114.0,8784.0,81.9
WY,Wyoming,3364.0,55.0,5079.0,66.2
NH,New Hampshire,194.0,1.0,194.0,100.0
SD,South Dakota,90.0,1.0,189.0,47.6
