DEST,DEST_CITY_NAME,DEST_STATE_ABR,PASSENGERS_2025,FLIGHTS_2025,SEATS_2025,LOAD_FACTOR_2025,FARE_2025,OVERALL_DEMAND_RANK,DEMAND_RANK_2025
PHX,"Phoenix, AZ",AZ,77961.0,627.0,94070.0,82.9,185.09,2,1
LAX,"Los Angeles, CA",CA,75571.0,631.0,93352.0,81.0,206.81,1,2
DFW,"Dallas/Fort Worth, TX",TX,69883.0,451.0,79127.0,88.3,227.33,7,3
LAS,"Las Vegas, NV",NV,66866.0,468.0,78364.0,85.3,170.65,3,4
SFO,"San Francisco, CA",CA,65757.0,561.0,82533.0,79.7,192.84,6,5
DEN,"Denver, CO",CO,65459.0,490.0,74929.0,87.4,173.53,5,6
ANC,"Anchorage, AK",AK,62726.0,580.0,75181.0,83.4,282.22,4,7
ORD,"Chicago, IL",IL,52371.0,377.0,63515.0,82.5,233.31,8,8
SAN,"San Diego, CA",CA,45841.0,351.0,54624.0,83.9,221.54,9,9
PDX,"Portland, OR",OR,37905.0,540.0,49381.0,76.8,191.22,10,10
