Dest,YEAR,SOURCE,AVG_FARE
ANC,2022,DB1B Q4,219.94
ANC,2023,DB1B Q4,205.09
ANC,2024,DB1B Q4,263.05
ANC,2025,DB1C December,282.22
DEN,2022,DB1B Q4,163.52
DEN,2023,DB1B Q4,161.81
DEN,2024,DB1B Q4,163.03
DEN,2025,DB1C December,173.53
DFW,2022,DB1B Q4,263.67
DFW,2023,DB1B Q4,242.63
DFW,2024,DB1B Q4,207.7
DFW,2025,DB1C December,227.33
LAS,2022,DB1B Q4,147.9
LAS,2023,DB1B Q4,139.33
LAS,2024,DB1B Q4,144.77
LAS,2025,DB1C December,170.65
LAX,2022,DB1B Q4,205.28
LAX,2023,DB1B Q4,149.98
LAX,2024,DB1B Q4,169.38
LAX,2025,DB1C December,206.81
ORD,2022,DB1B Q4,223.18
ORD,2023,DB1B Q4,201.64
ORD,2024,DB1B Q4,217.43
ORD,2025,DB1C December,233.31
PDX,2022,DB1B Q4,178.91
PDX,2023,DB1B Q4,166.86
PDX,2024,DB1B Q4,152.47
PDX,2025,DB1C December,191.22
PHX,2022,DB1B Q4,191.28
PHX,2023,DB1B Q4,158.87
PHX,2024,DB1B Q4,164.62
PHX,2025,DB1C December,185.09
SAN,2022,DB1B Q4,182.47
SAN,2023,DB1B Q4,171.9
SAN,2024,DB1B Q4,175.79
SAN,2025,DB1C December,221.54
SFO,2022,DB1B Q4,154.75
SFO,2023,DB1B Q4,169.95
SFO,2024,DB1B Q4,177.04
SFO,2025,DB1C December,192.84
