YEAR,DEST,PASSENGERS,FLIGHTS,SEATS,LOAD_FACTOR_PCT
2022,ANC,70370.0,553.0,83164.0,84.6
2022,DEN,65105.0,485.0,76245.0,85.4
2022,DFW,45928.0,282.0,51872.0,88.5
2022,LAS,75279.0,505.0,86550.0,87.0
2022,LAX,73103.0,579.0,87102.0,83.9
2022,ORD,51337.0,362.0,60990.0,84.2
2022,PDX,50963.0,646.0,67423.0,75.6
2022,PHX,72822.0,529.0,89954.0,81.0
2022,SAN,47280.0,329.0,54249.0,87.2
2022,SFO,64780.0,537.0,78150.0,82.9
2023,ANC,69302.0,610.0,92028.0,75.3
2023,DEN,69994.0,531.0,85876.0,81.5
2023,DFW,52328.0,332.0,61416.0,85.2
2023,LAS,80418.0,565.0,98661.0,81.5
2023,LAX,77362.0,604.0,88732.0,87.2
2023,ORD,46471.0,336.0,54562.0,85.2
2023,PDX,46781.0,621.0,64254.0,72.8
2023,PHX,77845.0,608.0,96787.0,80.4
2023,SAN,48871.0,381.0,62462.0,78.2
2023,SFO,64217.0,547.0,82394.0,77.9
2024,ANC,75953.0,619.0,81155.0,93.6
2024,DEN,69185.0,495.0,75209.0,92.0
2024,DFW,69731.0,432.0,76544.0,91.1
2024,LAS,76896.0,513.0,86862.0,88.5
2024,LAX,89868.0,679.0,104207.0,86.2
2024,ORD,54986.0,367.0,60047.0,91.6
2024,PDX,42970.0,594.0,57265.0,75.0
2024,PHX,79482.0,611.0,91239.0,87.1
2024,SAN,52532.0,382.0,61759.0,85.1
2024,SFO,66690.0,536.0,78196.0,85.3
2025,ANC,62726.0,580.0,75181.0,83.4
2025,DEN,65459.0,490.0,74929.0,87.4
2025,DFW,69883.0,451.0,79127.0,88.3
2025,LAS,66866.0,468.0,78364.0,85.3
2025,LAX,75571.0,631.0,93352.0,81.0
2025,ORD,52371.0,377.0,63515.0,82.5
2025,PDX,37905.0,540.0,49381.0,76.8
2025,PHX,77961.0,627.0,94070.0,82.9
2025,SAN,45841.0,351.0,54624.0,83.9
2025,SFO,65757.0,561.0,82533.0,79.7
